order_id,customer_id,product_id,order_date,quantity,unit_price
60,9,2,2024-01-05,2,29.99
61,10,3,2024-01-10,1,89.99
62,11,4,2024-01-15,1,349.99
63,12,5,2024-01-20,2,49.99
64,13,6,2024-02-01,1,39.99
65,14,7,2024-02-05,1,299.99
66,15,8,2024-02-10,1,599.99
67,16,9,2024-02-15,6,19.99
68,17,10,2024-02-20,12,9.99
69,18,11,2024-03-01,2,24.99
70,19,12,2024-03-05,1,79.99
71,20,13,2024-03-10,2,19.99
72,21,14,2024-03-15,1,149.99
73,22,15,2024-03-20,1,89.99
74,23,16,2024-04-01,1,14.99
75,24,17,2024-04-05,2,12.99
76,25,18,2024-04-10,1,34.99
77,26,19,2024-04-15,1,29.99
78,27,20,2024-04-20,2,14.99
79,28,1,2024-05-01,1,1299.99
80,29,2,2024-05-05,3,29.99
81,30,3,2024-05-10,1,89.99
82,31,4,2024-05-15,1,349.99
83,32,5,2024-05-20,1,49.99
84,33,6,2024-06-01,1,39.99
85,34,7,2024-06-05,1,299.99
86,35,8,2024-06-10,1,599.99
87,36,9,2024-06-15,4,19.99
88,37,10,2024-06-20,6,9.99
89,38,11,2024-07-01,1,24.99
90,39,12,2024-07-05,1,79.99
91,40,13,2024-07-10,1,19.99
92,41,14,2024-07-15,1,149.99
93,42,15,2024-07-20,1,89.99
94,43,16,2024-08-01,2,14.99
95,44,17,2024-08-05,1,12.99
96,45,18,2024-08-10,1,34.99
97,46,19,2024-08-15,1,29.99
98,47,20,2024-08-20,3,14.99
99,48,1,2024-09-01,1,1299.99
100,49,2,2024-09-05,1,29.99
101,50,3,2024-09-10,1,89.99
102,1,5,2024-09-15,2,49.99
103,2,6,2024-09-20,1,39.99
104,3,7,2024-10-01,1,299.99
105,4,8,2024-10-05,1,599.99
106,5,9,2024-10-10,3,19.99
107,6,10,2024-10-15,7,9.99
108,7,11,2024-10-20,2,24.99
109,8,12,2024-11-01,1,79.99
110,9,13,2024-11-05,1,19.99
111,10,14,2024-11-10,1,149.99
112,11,15,2024-11-15,1,89.99
113,12,16,2024-11-20,3,14.99
114,13,17,2024-12-01,2,12.99
115,14,18,2024-12-05,1,34.99
116,15,19,2024-12-10,1,29.99
117,16,20,2024-12-15,5,14.99
118,17,1,2024-12-20,1,1299.99
119,18,2,2024-12-25,2,29.99
120,19,3,2023-03-01,1,89.99
121,20,4,2023-03-05,1,349.99
122,21,5,2023-03-10,3,49.99
123,22,6,2023-03-15,1,39.99
124,23,7,2023-03-20,1,299.99
125,24,8,2023-04-01,1,599.99
126,25,9,2023-04-05,2,19.99
127,26,10,2023-04-10,4,9.99
128,27,11,2023-04-15,1,24.99
129,28,12,2023-04-20,1,79.99
130,29,13,2023-05-01,2,19.99
131,30,14,2023-05-05,1,149.99
132,31,15,2023-05-10,1,89.99
133,32,16,2023-05-15,1,14.99
134,33,17,2023-05-20,1,12.99
135,34,18,2023-06-01,1,34.99
136,35,19,2023-06-05,2,29.99
137,36,20,2023-06-10,1,14.99
138,37,1,2023-06-15,1,1299.99
139,38,2,2023-06-20,1,29.99
140,39,3,2023-07-01,1,89.99
141,40,4,2023-07-05,1,349.99
142,41,5,2023-07-10,1,49.99
143,42,6,2023-07-15,2,39.99
144,43,7,2023-07-20,1,299.99
145,44,8,2023-08-01,1,599.99
146,45,9,2023-08-05,5,19.99
147,46,10,2023-08-10,10,9.99
148,47,11,2023-08-15,1,24.99
149,48,12,2023-08-20,1,79.99
150,49,13,2023-09-01,1,19.99
151,50,14,2023-09-05,1,149.99
152,1,15,2023-09-10,1,89.99
153,2,16,2023-09-15,2,14.99
154,3,17,2023-09-20,1,12.99
155,4,18,2023-10-01,1,34.99
156,5,19,2023-10-05,1,29.99
157,6,20,2023-10-10,2,14.99
158,7,1,2023-10-15,1,1299.99
159,8,2,2023-10-20,3,29.99
160,9,3,2023-11-01,1,89.99
161,10,4,2023-11-05,1,349.99
162,11,5,2023-11-10,1,49.99
163,12,6,2023-11-15,1,39.99
164,13,7,2023-11-20,1,299.99
165,14,8,2023-12-01,1,599.99
166,15,9,2023-12-05,3,19.99
167,16,10,2023-12-10,5,9.99
168,17,11,2023-12-15,1,24.99
169,18,12,2023-12-20,1,79.99
170,19,13,2023-12-25,1,19.99
171,20,14,2024-01-01,1,149.99
172,21,15,2024-01-05,1,89.99
173,22,16,2024-01-10,1,14.99
174,23,17,2024-01-15,2,12.99
175,24,18,2024-01-20,1,34.99
176,25,19,2024-02-01,1,29.99
177,26,20,2024-02-05,1,14.99
178,27,1,2024-02-10,1,1299.99
179,28,2,2024-02-15,2,29.99
180,29,3,2024-02-20,1,89.99
181,30,4,2024-03-01,1,349.99
182,31,5,2024-03-05,2,49.99
183,32,6,2024-03-10,1,39.99
184,33,7,2024-03-15,1,299.99
185,34,8,2024-03-20,1,599.99
186,35,9,2024-04-01,2,19.99
187,36,10,2024-04-05,6,9.99
188,37,11,2024-04-10,1,24.99
189,38,12,2024-04-15,1,79.99
190,39,13,2024-04-20,1,19.99
191,40,14,2024-05-01,1,149.99
192,41,15,2024-05-05,1,89.99
193,42,16,2024-05-10,2,14.99
194,43,17,2024-05-15,1,12.99
195,44,18,2024-05-20,1,34.99
196,45,19,2024-06-01,1,29.99
197,46,20,2024-06-05,4,14.99
198,47,1,2024-06-10,1,1249.99
199,48,2,2024-06-15,1,29.99
200,49,3,2024-06-20,1,89.99

